,dice_score,jaccard_score,hd_score,hd95_score,assd_score,hd_score_normalized,hd95_score_normalized,assd_score_normalized
Mean,0.7812965755284438,0.6829591151775695,382.5328284017938,306.2117409947766,135.88831191967324,0.0969829191630736,0.07828352929110435,0.035423307289895595
Std. Dev.,0.2182859010954518,0.23805461162518418,496.5885470337424,431.75732227303627,219.29546209853436,0.104571923319408,0.09472943173515845,0.05125978635557642
Minimum,0.0,0.0,7.280109889280518,3.1622776601683795,0.8819718556161181,0.0016711249320354,0.0007770573095801,0.000242673591952
Maximum,0.9959495927308064,0.9919318646954988,3826.081546438863,3660.847838928481,2249.8556113246905,0.6706916359310086,0.6199150200162633,0.3922144537928345
Median,0.8572463849744104,0.7501585413538282,159.52429282087414,114.0,46.08492043474037,0.0572660169260554,0.0408044808572609,0.0165713130893021
IQR,0.18788017146950997,0.27647488029685485,404.3274746130927,313.35680529121476,118.38172316888257,0.09610387564286081,0.07689308502460229,0.03125758347972395
